year,award,league,bbref_id,name,team,points,votes_first,share_first,WAR,G,AB,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS,W,L,ERA,WHIP,G_p,GS,SV,IP,H_p,HR_p,BB_p,SO_p
2013,CYA,AL,shielja02,James Shields,KCR,2.0,0.0,1%,4.7,13,9,.591,3.15,34,34,0,2,0,0,228.2,215,82,80,20,68,0,196,8,2,11,946,1.238,131
2013,CYA,NL,kershcl01,Clayton Kershaw,LAD,207.0,29.0,99%,8.1,16,9,.640,1.83,33,33,0,3,2,0,236.0,164,55,48,11,52,2,232,3,2,12,908,0.915,194
2013,CYA,NL,wainwad01,Adam Wainwright,STL,86.0,1.0,41%,6.3,19,9,.679,2.94,34,34,0,5,2,0,241.2,223,83,79,15,35,2,219,6,0,5,956,1.068,127
2013,CYA,NL,fernajo02,Jose Fernandez,MIA,62.0,0.0,30%,6.2,12,6,.667,2.19,28,28,0,0,0,0,172.2,111,47,42,10,58,5,187,5,1,3,681,0.979,176
2013,CYA,NL,harvema01,Matt Harvey,NYM,39.0,0.0,19%,5.3,9,5,.643,2.27,26,26,0,1,1,0,178.1,135,46,45,7,31,1,191,4,0,2,690,0.931,157
2013,CYA,NL,kimbrcr01,Craig Kimbrel,ATL,39.0,0.0,19%,3.1,4,3,.571,1.21,68,0,60,0,0,50,67.0,39,10,9,4,20,2,98,3,0,3,258,0.881,311
2013,CYA,NL,leecl02,Cliff Lee,PHI,32.0,0.0,15%,6.6,14,8,.636,2.87,31,31,0,2,1,0,222.2,193,77,71,22,32,0,222,4,0,1,876,1.010,131
2013,CYA,NL,zimmejo02,Jordan Zimmermann,WSN,21.0,0.0,10%,3.5,19,9,.679,3.25,32,32,0,4,2,0,213.1,192,81,77,19,40,0,161,7,0,3,865,1.088,116
2013,CYA,NL,greinza01,Zack Greinke,LAD,19.0,0.0,9%,4.3,15,4,.789,2.63,28,28,0,1,1,0,177.2,152,54,52,13,46,1,148,7,0,5,717,1.114,135
2013,CYA,NL,bumgama01,Madison Bumgarner,SFG,3.0,0.0,1%,4.0,13,9,.591,2.77,31,31,0,0,0,0,201.1,146,68,62,15,62,6,199,6,0,6,803,1.033,124
2013,CYA,NL,liriafr01,Francisco Liriano,PIT,3.0,0.0,1%,3.3,16,8,.667,3.02,26,26,0,2,0,0,161.0,134,54,54,9,63,0,163,0,2,7,666,1.224,118
2013,MVP,AL,cabremi01,Miguel Cabrera,DET,385.0,23.0,92%,7.5,148,555,103,193,44,137,3,90,.348,.442,.636,1.078,,,,,,,,,,,,
2013,MVP,AL,troutmi01,Mike Trout,LAA,282.0,5.0,67%,8.9,157,589,109,190,27,97,33,110,.323,.432,.557,.988,,,,,,,,,,,,
2013,MVP,AL,davisch02,Chris Davis,BAL,232.0,1.0,55%,7.1,160,584,103,167,53,138,4,72,.286,.370,.634,1.004,,,,,,,,,,,,
2013,MVP,AL,donaljo02,Josh Donaldson,OAK,222.0,1.0,53%,7.2,158,579,89,174,24,93,5,76,.301,.384,.499,.883,,,,,,,,,,,,
2013,MVP,AL,canoro01,Robinson Cano,NYY,150.0,0.0,36%,6.6,160,605,81,190,27,107,7,65,.314,.383,.516,.899,,,,,,,,,,,,
2013,MVP,AL,longoev01,Evan Longoria,TBR,103.0,0.0,25%,5.8,160,614,91,165,32,88,1,70,.269,.343,.498,.842,,,,,,,,,,,,
2013,MVP,AL,beltrad01,Adrian Beltre,TEX,99.0,0.0,24%,5.7,161,631,88,199,30,92,1,50,.315,.371,.509,.880,,,,,,,,,,,,
2013,MVP,AL,pedrodu01,Dustin Pedroia,BOS,99.0,0.0,24%,6.1,160,641,91,193,9,84,17,73,.301,.372,.415,.787,,,,,,,,,,,,
2013,MVP,AL,machama01,Manny Machado,BAL,57.0,0.0,14%,5.9,156,667,88,189,14,71,6,29,.283,.314,.432,.746,,,,,,,,,,,,
2013,MVP,AL,ortizda01,David Ortiz,BOS,47.0,0.0,11%,4.4,137,518,84,160,30,103,4,76,.309,.395,.564,.959,,,,,,,,,,,,
2013,MVP,AL,kipnija01,Jason Kipnis,CLE,31.0,0.0,7%,5.0,149,564,86,160,17,84,30,76,.284,.366,.452,.818,,,,,,,,,,,,
2013,MVP,AL,scherma01,Max Scherzer,DET,25.0,0.0,6%,6.6,1,3,0,1,0,1,0,0,.333,.333,.667,1.000,21,3,2.90,0.970,32,32,0,214.1,152,18,56,240
2013,MVP,AL,jonesad01,Adam Jones,BAL,9.0,0.0,2%,4.8,160,653,100,186,33,108,14,25,.285,.318,.493,.811,,,,,,,,,,,,
2013,MVP,AL,encared01,Edwin Encarnacion,TOR,7.0,0.0,2%,4.1,142,530,90,144,36,104,7,82,.272,.370,.534,.904,,,,,,,,,,,,
2013,MVP,AL,crispco01,Coco Crisp,OAK,3.0,0.0,1%,3.8,131,513,93,134,22,66,21,61,.261,.335,.444,.779,,,,,,,,,,,,
2013,MVP,AL,ellsbja01,Jacoby Ellsbury,BOS,3.0,0.0,1%,5.8,134,577,92,172,9,53,52,47,.298,.355,.426,.781,,,,,,,,,,,,
2013,MVP,AL,hollagr01,Greg Holland,KCR,3.0,0.0,1%,3.2,6,0,0,0,0,0,0,0,,,,,2,1,1.21,0.866,68,0,47,67.0,40,3,18,103
2013,MVP,AL,santaca01,Carlos Santana,CLE,3.0,0.0,1%,4.4,154,541,75,145,20,74,3,93,.268,.377,.455,.832,,,,,,,,,,,,
2013,MVP,AL,hunteto01,Torii Hunter,DET,2.0,0.0,0%,2.6,144,606,90,184,17,84,3,26,.304,.334,.465,.800,,,,,,,,,,,,
2013,MVP,AL,iwakuhi01,Hisashi Iwakuma,SEA,2.0,0.0,0%,7.0,1,3,0,0,0,0,0,0,.000,.000,.000,.000,14,6,2.66,1.006,33,33,0,219.2,179,25,42,185
2013,MVP,AL,ueharko01,Koji Uehara,BOS,2.0,0.0,0%,3.5,3,0,0,0,0,0,0,0,,,,,4,1,1.09,0.565,73,0,21,74.1,33,5,9,101
2013,MVP,AL,darviyu01,Yu Darvish,TEX,1.0,0.0,0%,5.5,1,3,0,0,0,0,0,0,.000,.000,.000,.000,13,9,2.83,1.073,32,32,0,209.2,145,26,80,277
2013,MVP,AL,hernafe02,Felix Hernandez,SEA,1.0,0.0,0%,5.1,2,5,1,0,0,0,0,1,.000,.167,.000,.167,12,10,3.04,1.131,31,31,0,204.1,185,15,46,216
2013,MVP,AL,perezsa02,Salvador Perez,KCR,1.0,0.0,0%,4.2,138,496,48,145,13,79,0,21,.292,.323,.433,.757,,,,,,,,,,,,
2013,MVP,AL,victosh01,Shane Victorino,BOS,1.0,0.0,0%,6.0,122,477,82,140,15,61,21,25,.294,.351,.451,.801,,,,,,,,,,,,
2013,MVP,NL,mccutan01,Andrew McCutchen,PIT,409.0,28.0,97%,7.8,157,583,97,185,21,84,27,78,.317,.404,.508,.911,,,,,,,,,,,,
2013,MVP,NL,goldspa01,Paul Goldschmidt,ARI,242.0,0.0,58%,6.3,160,602,103,182,36,125,15,99,.302,.401,.551,.952,,,,,,,,,,,,
2013,MVP,NL,molinya01,Yadier Molina,STL,219.0,2.0,52%,6.2,136,505,68,161,12,80,3,30,.319,.359,.477,.836,,,,,,,,,,,,
2013,MVP,NL,carpema01,Matt Carpenter,STL,194.0,0.0,46%,6.6,157,626,126,199,11,78,3,72,.318,.392,.481,.873,,,,,,,,,,,,
